user_id,first_send_date,cohort
9081,2020-07-27 13:02:24.293568+00:00,July 2020
9082,2020-07-27 13:06:49.529731+00:00,July 2020
9083,,
9084,2020-07-27 13:22:16.338042+00:00,July 2020
9085,2020-07-27 13:25:54.391448+00:00,July 2020
9086,2020-07-27 13:26:07.623454+00:00,July 2020
9087,2020-07-27 13:40:13.534190+00:00,July 2020
9088,2020-07-27 13:43:16.283717+00:00,July 2020
9089,2020-07-27 13:44:58.707936+00:00,July 2020
9090,2020-07-27 13:50:54.405172+00:00,July 2020
9091,2020-07-27 14:00:24.617902+00:00,July 2020
9093,2020-07-27 14:28:52.495261+00:00,July 2020
9095,2020-07-27 14:48:23.399415+00:00,July 2020
9096,2020-07-27 14:57:56.443660+00:00,July 2020
9097,2020-07-27 15:08:00.369592+00:00,July 2020
9098,2020-07-27 15:24:40.078193+00:00,July 2020
9099,2020-07-27 15:25:57.690033+00:00,July 2020
9100,2020-07-27 15:53:29.103275+00:00,July 2020
9101,2020-07-27 15:55:39.433058+00:00,July 2020
9103,2020-07-27 16:01:14.252482+00:00,July 2020
9104,2020-07-27 16:03:37.916860+00:00,July 2020
9105,2020-07-27 16:04:33.405276+00:00,July 2020
9106,2020-07-27 16:05:59.116503+00:00,July 2020
9107,2020-07-27 16:07:00.825171+00:00,July 2020
9108,2020-07-27 16:10:03.091006+00:00,July 2020
9109,2020-07-27 16:10:07.684096+00:00,July 2020
9110,2020-07-27 16:11:02.197792+00:00,July 2020
9112,2020-07-27 16:11:56.711016+00:00,July 2020
9113,2020-07-27 16:12:10.492398+00:00,July 2020
9114,2020-07-27 16:15:46.955170+00:00,July 2020
9115,2020-07-27 16:20:33.607143+00:00,July 2020
9116,2020-07-27 16:21:15.883818+00:00,July 2020
9117,2020-07-27 16:21:23.583131+00:00,July 2020
9118,2020-07-27 16:22:06.405313+00:00,July 2020
9119,2020-07-27 16:22:17.658045+00:00,July 2020
9120,2020-07-27 16:22:22.014319+00:00,July 2020
9121,2020-07-27 16:28:43.520441+00:00,July 2020
9122,2020-07-27 16:37:48.069130+00:00,July 2020
9123,2020-07-27 16:44:48.498595+00:00,July 2020
9125,2020-07-27 16:53:54.401060+00:00,July 2020
9126,2020-07-27 17:11:43.261069+00:00,July 2020
9127,2020-07-27 17:14:17.902057+00:00,July 2020
9128,2020-07-27 17:19:25.461608+00:00,July 2020
9129,2020-07-27 17:34:33.954764+00:00,July 2020
9130,2020-07-27 17:57:53.311138+00:00,July 2020
9131,2020-07-27 18:03:31.177759+00:00,July 2020
9133,2020-07-27 18:12:39.434648+00:00,July 2020
9134,2020-07-27 18:15:58.487300+00:00,July 2020
9135,2020-07-27 18:19:32.091374+00:00,July 2020
9136,2020-07-27 18:33:05.329472+00:00,July 2020
9137,2020-07-27 18:36:57.560902+00:00,July 2020
9138,2020-07-27 18:41:28.271770+00:00,July 2020
9139,2020-07-27 18:50:24.634393+00:00,July 2020
9140,2020-07-27 19:12:12.127110+00:00,July 2020
9141,2020-07-27 19:16:30.218548+00:00,July 2020
9143,2020-07-27 19:17:42.316042+00:00,July 2020
9144,2020-07-27 19:17:42.925853+00:00,July 2020
9145,2020-07-27 19:23:50.349841+00:00,July 2020
9147,2020-07-27 19:29:04.768115+00:00,July 2020
9148,2020-07-27 19:32:26.119428+00:00,July 2020
9149,2020-07-27 19:32:58.473967+00:00,July 2020
9150,2020-07-27 19:38:28.512610+00:00,July 2020
9151,2020-07-27 19:39:35.996975+00:00,July 2020
9153,2020-07-27 20:14:35.568073+00:00,July 2020
9154,2020-07-27 20:44:50.984108+00:00,July 2020
9156,2020-07-27 21:02:39.174976+00:00,July 2020
9157,2020-07-27 21:03:20.560688+00:00,July 2020
9162,2020-07-27 21:52:37.055820+00:00,July 2020
9163,2020-07-27 21:53:44.324291+00:00,July 2020
9164,2020-07-27 21:55:30.100188+00:00,July 2020
9165,2020-07-27 21:56:54.494457+00:00,July 2020
9166,2020-07-27 22:04:08.015972+00:00,July 2020
9167,2020-07-27 22:07:36.715692+00:00,July 2020
9168,2020-07-27 22:19:03.086303+00:00,July 2020
9169,2020-07-27 22:25:00.034330+00:00,July 2020
9170,2020-07-27 22:26:25.067252+00:00,July 2020
9171,2020-07-27 22:50:06.405415+00:00,July 2020
9172,2020-07-27 23:02:41.639618+00:00,July 2020
9173,2020-07-27 23:38:54.100571+00:00,July 2020
9174,2020-07-28 00:06:03.632380+00:00,July 2020
9175,2020-07-28 00:20:31.410413+00:00,July 2020
9176,2020-07-28 00:21:23.528555+00:00,July 2020
9177,2020-07-28 03:12:09.670502+00:00,July 2020
9178,2020-07-28 03:16:27.943919+00:00,July 2020
9179,2020-07-28 04:21:18.174096+00:00,July 2020
9181,2020-07-28 04:56:52.697090+00:00,July 2020
9182,2020-07-28 05:00:52.692738+00:00,July 2020
9183,2020-07-28 05:19:35.064818+00:00,July 2020
9184,2020-07-28 05:27:13.186732+00:00,July 2020
9186,2020-07-28 05:40:36.089124+00:00,July 2020
9188,2020-07-28 06:18:35.337454+00:00,July 2020
9189,2020-07-28 06:31:42.719948+00:00,July 2020
9190,2020-07-28 06:33:13.972787+00:00,July 2020
9191,2020-07-28 06:38:17.357211+00:00,July 2020
9192,2020-07-28 06:53:58.991329+00:00,July 2020
9194,2020-07-28 07:20:06.597278+00:00,July 2020
